major,women,median,fulltime,college,unemploymentRate
PETROLEUM ENGINEERING,0.120564344,1,0.790508764,0.776315789,0.018380527
MINING AND MINERAL ENGINEERING,0.101851852,0.681818182,0.735449735,0.546875,0.117241379
METALLURGICAL ENGINEERING,0.153037383,0.663636364,0.651869159,0.703703704,0.024096386
NAVAL ARCHITECTURE AND MARINE ENGINEERING,0.107313196,0.636363636,0.849761526,0.697889182,0.050125313
CHEMICAL ENGINEERING,0.341630502,0.590909091,0.718226906,0.71277341,0.061097712
NUCLEAR ENGINEERING,0.144966965,0.590909091,0.792071512,0.614970382,0.177226407
ACTUARIAL SCIENCE,0.441355573,0.563636364,0.774159386,0.607142857,0.095652174
ASTRONOMY AND ASTROPHYSICS,0.535714286,0.563636364,0.60546875,0.636959371,0.021167415
MECHANICAL ENGINEERING,0.119558903,0.545454545,0.781544937,0.691295361,0.057342278
ELECTRICAL ENGINEERING,0.196450256,0.545454545,0.680142775,0.740036817,0.059173845
COMPUTER ENGINEERING,0.199412643,0.545454545,0.729743392,0.728911586,0.065409275
AEROSPACE ENGINEERING,0.139792801,0.545454545,0.737548147,0.718461944,0.065162085
BIOMEDICAL ENGINEERING,0.437846874,0.545454545,0.60294216,0.640887827,0.09208386
MATERIALS SCIENCE,0.310820285,0.545454545,0.642907221,0.794073178,0.023042836
ENGINEERING MECHANICS PHYSICS AND SCIENCE,0.183985189,0.527272727,0.694052303,0.675997783,0.006334343
BIOLOGICAL ENGINEERING,0.320784314,0.519090909,0.611204482,0.583954619,0.087143069
INDUSTRIAL AND MANUFACTURING ENGINEERING,0.343473218,0.518181818,0.784426402,0.53229941,0.042875544
GENERAL ENGINEERING,0.252959838,0.509090909,0.674303375,0.598651265,0.059824231
ARCHITECTURAL ENGINEERING,0.350442478,0.490909091,0.806017699,0.646601942,0.061930783
COURT REPORTING,0.236062718,0.490909091,0.703832753,0.432258065,0.011689692
COMPUTER SCIENCE,0.222695002,0.481818182,0.712949758,0.672191366,0.063172771
FOOD SCIENCE,,0.481818182,#DIV/0!,0.375674817,0.09693146
ELECTRICAL ENGINEERING TECHNOLOGY,0.292607004,0.472727273,0.651102464,0.596948876,0.087557114
MATERIALS ENGINEERING AND MATERIALS SCIENCE,0.325091881,0.472727273,0.553959238,0.780318497,0.027788805
MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,0.278790146,0.463636364,0.809116657,0.386401024,0.058239614
CIVIL ENGINEERING,0.227117943,0.454545455,0.720599025,0.662763412,0.070609574
CONSTRUCTION SERVICES,0.090712509,0.454545455,0.848199805,0.200698615,0.060023041
OPERATIONS LOGISTICS AND E-COMMERCE,0.32483805,0.454545455,0.821599045,0.146205246,0.047858703
MISCELLANEOUS ENGINEERING,0.189970437,0.454545455,0.745757144,0.463785676,0.074392523
PUBLIC POLICY,0.558548009,0.454545455,0.696386751,0.340884099,0.128426299
ENVIRONMENTAL ENGINEERING,0.342228811,0.454545455,0.58907833,0.679852497,0.093588575
ENGINEERING TECHNOLOGIES,0.251388889,0.454545455,0.626944444,0.363344051,0.055030385
MISCELLANEOUS FINE ARTS,0.410179641,0.454545455,0.613473054,0.237817433,0.089375
GEOLOGICAL AND GEOPHYSICAL ENGINEERING,0.322222222,0.454545455,0.727777778,0.829470199,0.075038285
NURSING,0.896018988,0.436363636,0.722040746,0.838255861,0.044862724
FINANCE,0.340824957,0.427272727,0.790351048,0.16639441,0.060686356
ECONOMICS,0.355469059,0.427272727,0.693494294,0.245704352,0.099092317
BUSINESS ECONOMICS,0.430536761,0.418181818,0.755375132,0.144584937,0.096448381
INDUSTRIAL PRODUCTION TECHNOLOGIES,0.24919024,0.418181818,0.861153099,0.314814815,0.028308097
